Município;Estado;Ano de Referência;IDHM
Abadia de Goiás ;GO;2000;0,57
Abadia dos Dourados ;MG;2000;0,58
Abadiânia ;GO;2000;0,50
Abaeté ;MG;2000;0,59
Abaetetuba ;PA;2000;0,50
Abaiara ;CE;2000;0,45
Abaíra ;BA;2000;0,50
Abaré ;BA;2000;0,42
Abatiá ;PR;2000;0,55
Abdon Batista ;SC;2000;0,58
Abelardo Luz ;SC;2000;0,58
Abel Figueiredo ;PA;2000;0,51
Abre Campo ;MG;2000;0,54
Abreu E Lima ;PE;2000;0,56
Abreulândia ;TO;2000;0,45
Acaiaca ;MG;2000;0,52
Açailândia ;MA;2000;0,50
Acajutiba ;BA;2000;0,42
Acará ;PA;2000;0,35
Acarape ;CE;2000;0,49
Acaraú ;CE;2000;0,42
Acari ;RN;2000;0,56
Acauã ;PI;2000;0,27
Aceguá ;RS;2000;0,62
Acopiara ;CE;2000;0,41
Acorizal ;MT;2000;0,50
Acrelândia ;AC;2000;0,45
Acreúna ;GO;2000;0,57
Açucena ;MG;2000;0,44
Açu ;RN;2000;0,54
Adamantina ;SP;2000;0,72
Adelândia ;GO;2000;0,53
Adolfo ;SP;2000;0,67
Adrianópolis ;PR;2000;0,54
Adustina ;BA;2000;0,35
Afogados da Ingazeira ;PE;2000;0,52
Afonso Bezerra ;RN;2000;0,46
Afonso Cláudio ;ES;2000;0,55
Afonso Cunha ;MA;2000;0,34
Afrânio ;PE;2000;0,39
Afuá ;PA;2000;0,33
Agrestina ;PE;2000;0,44
Agricolândia ;PI;2000;0,45
Agrolândia ;SC;2000;0,59
Agronômica ;SC;2000;0,60
Água Azul do Norte ;PA;2000;0,38
Água Boa ;MG;2000;0,45
Água Boa ;MT;2000;0,60
Água Branca ;AL;2000;0,39
Água Branca ;PB;2000;0,42
Água Branca ;PI;2000;0,51
Água Clara ;MS;2000;0,53
Água Comprida ;MG;2000;0,60
Água Doce do Maranhão ;MA;2000;0,29
Água Doce do Norte ;ES;2000;0,53
Água Doce ;SC;2000;0,63
Água Fria ;BA;2000;0,38
Água Fria de Goiás ;GO;2000;0,48
Aguaí ;SP;2000;0,64
Água Limpa ;GO;2000;0,59
Aguanil ;MG;2000;0,57
Água Nova ;RN;2000;0,41
Água Preta ;PE;2000;0,39
Água Santa ;RS;2000;0,63
Águas Belas ;PE;2000;0,36
Águas da Prata ;SP;2000;0,69
Águas de Chapecó ;SC;2000;0,58
Águas de Lindóia ;SP;2000;0,70
Águas de Santa Bárbara ;SP;2000;0,67
Águas de São Pedro ;SP;2000;0,79
Águas Formosas ;MG;2000;0,51
Águas Frias ;SC;2000;0,60
Águas Lindas de Goiás ;GO;2000;0,50
Águas Mornas ;SC;2000;0,57
Águas Vermelhas ;MG;2000;0,47
